                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2842,                 1.8064,                 1.7067,                0.43341,                 0.5653,                0.50669,                0.30006,                 1.4839,                  3.052,                  2.159,               0.067133,             0.00033199,             0.00033199
                      2,                  1.261,                 1.5729,                 1.6771,                0.63664,                0.59521,                0.63922,                0.40292,                  1.328,                 1.5661,                 2.0358,               0.034133,             0.00066531,             0.00066531
                      3,                 1.2111,                 1.4647,                 1.6347,                0.58945,                0.68812,                0.69851,                 0.4554,                 1.2512,                 1.6016,                 1.8811,              0.0011324,             0.00099855,             0.00099855
                      4,                 1.2132,                 1.4543,                 1.6362,                0.62506,                0.67283,                0.72115,                 0.5139,                 1.1562,                 1.4068,                 1.7848,             0.00099976,             0.00099976,             0.00099976
                      5,                 1.1779,                  1.368,                 1.5845,                0.59052,                0.77017,                0.73268,                0.49523,                 1.1776,                 1.0851,                 1.7814,             0.00099957,             0.00099957,             0.00099957
                      6,                   1.15,                 1.3578,                 1.5759,                0.68194,                0.68184,                0.74537,                0.54465,                 1.0983,                 1.1706,                 1.6895,             0.00099932,             0.00099932,             0.00099932
                      7,                 1.1332,                 1.3329,                 1.5475,                0.67674,                0.72305,                0.76922,                0.54884,                 1.0804,                 1.0435,                 1.6884,             0.00099902,             0.00099902,             0.00099902
                      8,                 1.0835,                 1.2253,                 1.5223,                0.56275,                0.78951,                0.78442,                0.53364,                 1.1502,                  1.393,                 1.8917,             0.00099867,             0.00099867,             0.00099867
                      9,                 1.0676,                 1.1934,                 1.5011,                0.76628,                0.80186,                0.83412,                0.60037,                 1.1002,                0.91608,                  1.709,             0.00099826,             0.00099826,             0.00099826
                     10,                 1.0732,                 1.1972,                 1.4997,                0.68098,                0.75642,                0.76507,                0.53078,                 1.1831,                  1.049,                 1.7837,              0.0009978,              0.0009978,              0.0009978
                     11,                 1.0586,                 1.1752,                 1.4931,                0.83013,                0.83849,                0.86317,                0.65302,                0.94546,                0.77451,                 1.5213,             0.00099729,             0.00099729,             0.00099729
                     12,                 1.0319,                 1.1298,                  1.464,                0.78615,                0.78095,                0.84887,                0.62298,                0.98214,                0.80952,                  1.534,             0.00099672,             0.00099672,             0.00099672
                     13,                 1.0182,                 1.1087,                 1.4678,                0.79808,                0.82058,                0.86575,                0.63898,                 1.0023,                0.91021,                 1.5867,              0.0009961,              0.0009961,              0.0009961
                     14,                 1.0058,                 1.0618,                 1.4418,                0.87411,                0.80091,                0.87824,                0.65669,                 0.9805,                0.77145,                 1.5417,             0.00099542,             0.00099542,             0.00099542
                     15,                0.99194,                 1.0603,                 1.4454,                0.78695,                0.84335,                0.86431,                0.61377,                  1.133,                0.77931,                 1.7407,             0.00099469,             0.00099469,             0.00099469
                     16,                0.99971,                  1.024,                 1.4521,                0.81172,                0.75982,                0.86508,                0.63023,                0.99489,                 1.0274,                 1.5451,             0.00099391,             0.00099391,             0.00099391
                     17,                0.98841,                 1.0334,                 1.4391,                0.86352,                0.81733,                0.88222,                0.67349,                0.89923,                0.77246,                 1.4677,             0.00099307,             0.00099307,             0.00099307
                     18,                0.97727,                 1.0065,                 1.4298,                0.83383,                0.82455,                0.89001,                0.68226,                0.90754,                 0.7726,                 1.4631,             0.00099218,             0.00099218,             0.00099218
                     19,                0.96275,                0.97903,                 1.4149,                0.85121,                0.86503,                 0.9037,                 0.6906,                0.89379,                0.70754,                 1.4497,             0.00099123,             0.00099123,             0.00099123
                     20,                0.96686,                0.97978,                 1.4243,                0.84696,                0.82437,                0.89564,                0.67275,                0.90389,                0.75807,                 1.4634,             0.00099023,             0.00099023,             0.00099023
                     21,                0.95168,                0.95925,                 1.4131,                0.88963,                0.86495,                 0.9063,                0.67002,                0.95211,                0.65907,                 1.5105,             0.00098918,             0.00098918,             0.00098918
                     22,                0.94757,                0.93161,                 1.4014,                0.85177,                0.84219,                0.90042,                 0.6975,                0.84877,                0.66879,                 1.4118,             0.00098808,             0.00098808,             0.00098808
                     23,                0.94947,                0.94744,                 1.3993,                0.84184,                0.86305,                0.90295,                0.68329,                0.94164,                0.64451,                 1.4801,             0.00098692,             0.00098692,             0.00098692
                     24,                0.92357,                0.91842,                 1.3819,                0.78272,                0.88812,                0.90711,                0.68092,                0.87983,                0.77435,                 1.4201,             0.00098571,             0.00098571,             0.00098571
                     25,                0.92266,                 0.9198,                 1.3794,                0.82879,                0.89629,                0.91162,                0.70718,                0.86281,                0.61406,                 1.4111,             0.00098445,             0.00098445,             0.00098445
                     26,                0.89848,                0.87921,                 1.3616,                0.86625,                0.88032,                0.91445,                0.72013,                0.85581,                0.62611,                  1.417,             0.00098313,             0.00098313,             0.00098313
                     27,                0.90211,                0.87418,                 1.3598,                 0.8982,                0.91298,                0.92487,                0.71683,                0.81414,                0.57964,                 1.3681,             0.00098177,             0.00098177,             0.00098177
                     28,                0.91573,                0.89384,                 1.3672,                0.82284,                0.87253,                0.89808,                0.69961,                0.84227,                0.64509,                 1.4045,             0.00098035,             0.00098035,             0.00098035
                     29,                 0.9103,                0.88026,                 1.3719,                0.89304,                0.88537,                0.92163,                0.69634,                0.89057,                0.58624,                  1.414,             0.00097887,             0.00097887,             0.00097887
                     30,                 0.8888,                0.86212,                 1.3591,                0.87043,                0.90596,                0.91875,                0.72314,                0.83842,                0.58805,                 1.3854,             0.00097735,             0.00097735,             0.00097735
                     31,                0.88154,                0.82921,                  1.349,                0.85933,                 0.8694,                0.92317,                0.72756,                0.81247,                0.59613,                 1.3527,             0.00097577,             0.00097577,             0.00097577
                     32,                0.89687,                 0.8622,                 1.3561,                0.83056,                 0.8783,                0.92495,                0.71137,                0.83736,                 0.6395,                 1.3931,             0.00097415,             0.00097415,             0.00097415
                     33,                0.90623,                0.87614,                 1.3726,                0.86571,                0.91886,                0.92459,                0.72032,                0.84992,                0.57507,                 1.3942,             0.00097247,             0.00097247,             0.00097247
                     34,                 0.9004,                0.85572,                 1.3585,                0.87948,                0.89528,                0.93682,                0.73101,                0.85122,                0.58292,                 1.4153,             0.00097074,             0.00097074,             0.00097074
                     35,                 0.8634,                0.81972,                 1.3443,                0.89331,                0.88088,                0.92134,                0.71709,                0.88723,                0.57469,                 1.4122,             0.00096895,             0.00096895,             0.00096895
                     36,                0.87306,                0.80933,                 1.3477,                0.87929,                0.86076,                 0.9201,                0.71025,                 0.8612,                0.59945,                 1.4017,             0.00096712,             0.00096712,             0.00096712
                     37,                0.88333,                0.82389,                 1.3475,                0.88705,                0.90094,                0.92632,                0.74273,                0.80255,                0.53434,                 1.3421,             0.00096524,             0.00096524,             0.00096524
                     38,                0.85813,                0.79646,                 1.3308,                0.86129,                0.92173,                0.92699,                0.71708,                0.85964,                0.58834,                 1.3959,             0.00096331,             0.00096331,             0.00096331
                     39,                0.86133,                0.81975,                 1.3358,                0.88176,                0.90555,                0.92855,                0.72758,                0.84242,                0.53762,                 1.3812,             0.00096132,             0.00096132,             0.00096132
                     40,                0.84788,                0.79275,                 1.3241,                0.86545,                0.89406,                0.91674,                0.70195,                0.86657,                0.58484,                 1.3929,             0.00095929,             0.00095929,             0.00095929
                     41,                0.84632,                0.77505,                 1.3208,                0.89796,                0.88171,                0.92868,                0.72416,                 0.8182,                 0.5705,                  1.373,             0.00095721,             0.00095721,             0.00095721
                     42,                0.84848,                0.79873,                  1.328,                0.87643,                0.92698,                0.94272,                0.74575,                0.78993,                0.52823,                 1.3259,             0.00095507,             0.00095507,             0.00095507
                     43,                0.85073,                 0.7866,                  1.323,                0.86276,                0.90492,                0.93049,                0.73935,                 0.7992,                0.58599,                 1.3347,             0.00095289,             0.00095289,             0.00095289
                     44,                0.84082,                0.76811,                 1.3177,                0.86934,                0.90581,                0.91781,                0.70788,                0.84411,                0.56519,                  1.383,             0.00095066,             0.00095066,             0.00095066
                     45,                0.83337,                0.74535,                  1.311,                0.84659,                0.87337,                0.94143,                0.73265,                 0.8016,                 0.5608,                 1.3561,             0.00094838,             0.00094838,             0.00094838
                     46,                0.85603,                 0.7724,                 1.3355,                0.91991,                0.88299,                0.93928,                0.72319,                0.85818,                0.52355,                 1.3859,             0.00094605,             0.00094605,             0.00094605
                     47,                0.84004,                0.75793,                 1.3111,                 0.8724,                0.87875,                 0.9149,                0.70984,                0.85807,                0.56974,                 1.4215,             0.00094367,             0.00094367,             0.00094367
                     48,                0.83956,                0.76673,                 1.3154,                0.93356,                0.87436,                0.94548,                0.74243,                0.78567,                0.54772,                 1.3279,             0.00094125,             0.00094125,             0.00094125
                     49,                0.83143,                0.73964,                 1.3033,                0.89599,                0.89981,                0.92554,                0.72211,                 0.8366,                0.57315,                 1.3883,             0.00093877,             0.00093877,             0.00093877
                     50,                0.85303,                0.76985,                 1.3153,                0.86332,                0.85451,                0.90469,                0.69799,                0.90047,                0.62803,                 1.4453,             0.00093625,             0.00093625,             0.00093625
                     51,                0.82233,                0.72207,                 1.2931,                0.87477,                0.91467,                0.92228,                0.72424,                0.84155,                0.59081,                 1.3987,             0.00093368,             0.00093368,             0.00093368
                     52,                0.82491,                0.73614,                 1.3058,                0.89255,                0.88268,                0.92045,                0.74202,                0.79679,                0.57933,                 1.3571,             0.00093107,             0.00093107,             0.00093107
                     53,                0.84021,                0.74886,                 1.3105,                0.90837,                0.90068,                0.93358,                0.72852,                0.82912,                0.53824,                 1.3776,             0.00092841,             0.00092841,             0.00092841
                     54,                0.82661,                0.71897,                 1.2973,                0.92234,                0.93697,                0.95099,                 0.7424,                0.81247,                0.51624,                 1.3556,              0.0009257,              0.0009257,              0.0009257
                     55,                0.80786,                0.72716,                 1.2943,                0.85744,                0.89263,                0.92851,                0.73894,                0.78436,                0.52961,                 1.3399,             0.00092294,             0.00092294,             0.00092294
                     56,                0.81217,                0.69196,                  1.287,                0.92273,                0.91336,                0.94221,                0.74411,                 0.8214,                0.49866,                  1.363,             0.00092014,             0.00092014,             0.00092014
                     57,                0.80278,                0.71371,                 1.2806,                0.89621,                0.89144,                0.94095,                0.73224,                0.82638,                0.52224,                 1.3667,              0.0009173,              0.0009173,              0.0009173
                     58,                 0.7944,                0.69202,                  1.283,                0.86679,                0.90398,                0.94547,                0.73612,                0.82551,                0.51551,                  1.362,              0.0009144,              0.0009144,              0.0009144
                     59,                0.81312,                0.71329,                 1.2833,                0.91752,                0.90831,                0.93828,                0.74864,                0.80479,                 0.5045,                 1.3464,             0.00091147,             0.00091147,             0.00091147
                     60,                0.78721,                 0.6897,                  1.269,                0.89391,                0.88952,                0.93578,                0.74109,                0.79543,                0.52532,                 1.3352,             0.00090849,             0.00090849,             0.00090849
                     61,                0.80013,                0.69896,                  1.281,                0.91308,                0.91238,                 0.9441,                 0.7427,                0.78881,                0.51904,                 1.3307,             0.00090546,             0.00090546,             0.00090546
                     62,                 0.7999,                0.69506,                 1.2881,                0.89648,                0.89543,                0.93559,                0.73872,                0.78279,                0.53195,                 1.3304,             0.00090239,             0.00090239,             0.00090239
                     63,                0.80647,                0.69691,                 1.2909,                0.88204,                0.89946,                0.93696,                0.74754,                 0.7985,                0.50139,                 1.3427,             0.00089928,             0.00089928,             0.00089928
                     64,                0.79789,                0.69328,                  1.278,                0.91145,                0.88069,                0.93677,                0.74493,                0.80396,                0.50674,                 1.3402,             0.00089613,             0.00089613,             0.00089613
                     65,                0.79767,                0.67659,                 1.2791,                0.89623,                0.89864,                0.93516,                0.75519,                0.76398,                0.50252,                  1.303,             0.00089293,             0.00089293,             0.00089293
                     66,                0.78599,                0.66524,                  1.267,                0.88974,                 0.8834,                0.92443,                0.74057,                0.79148,                0.55813,                 1.3308,             0.00088969,             0.00088969,             0.00088969
                     67,                0.78548,                0.65668,                 1.2726,                0.92949,                0.90679,                0.93785,                0.75407,                0.79163,                0.49739,                  1.344,              0.0008864,              0.0008864,              0.0008864
